=================== Design Variables ====================
 NAME VALUE MINIMUM MAXIMUM DESCRIPTION                  
    W    12       1      20 Width of Cardboard  (in)     
  thk   0.1    0.02     0.4 Thickness of Cardboard  (in) 
=========================================================
""
h vs Volume,
h,L = 10,L = 15,L = 20
1.0,80.0,130.0,180.0
1.25,89.0625,148.4375,207.8125
1.5,94.5,162.0,229.5
1.75,96.6875,171.0625,245.4375
2.0,96.0,176.0,256.0
2.25,92.8125,177.1875,261.5625
2.5,87.5,175.0,262.5
2.75,80.4375,169.8125,259.1875
3.0,72.0,162.0,252.0
3.25,62.5625,151.9375,241.3125
3.5,52.5,140.0,227.5
3.75,42.1875,126.5625,210.9375
4.0,32.0,112.0,192.0
4.25,22.3125,96.6875,171.0625
4.5,13.5,81.0,148.5
4.75,5.9375,65.3125,124.6875
5.0,0.0,50.0,100.0
5.25,0.0,35.4375,74.8125
5.5,0.0,22.0,49.5
5.75,0.0,10.0625,24.4375
6.0,0.0,0.0,0.0
,
