=================== Design Variables ====================
 NAME VALUE MINIMUM MAXIMUM DESCRIPTION                  
    W    12       1      20 Width of Cardboard  (in)     
    h     3       1       6 Height of Box  (in)          
  thk   0.1    0.02     0.4 Thickness of Cardboard  (in) 
=========================================================
""
L,Volume
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,5.336371840412942e-05
7.0,18.00005336371401
8.0,36.00005336370962
9.0,54.00005336370521
10.0,72.00005336370083
11.0,90.00005336369642
12.0,108.00005336369203
13.0,126.00005336368764
14.0,144.00005336368324
15.0,162.00005336367886
16.0,180.00005336367445
17.0,198.00005336367008
18.0,216.00005336366567
19.0,234.0000533636613
20.0,252.0000533636569
